Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,study_id,study type,response,shrub response,location,lat,lon,methods,drivers,driver regime,study species,n_species,study level,comment,source
J,"Parkinson, LV; Mulder, CPH",,,,"Parkinson, Lindsey Viann; Mulder, Christa P. H.",,,Patterns of pollen and resource limitation of fruit production in Vaccinium uliginosum and V. vitis-idaea in Interior Alaska,PLOS ONE,,,,,,,,,,,,"Many recent studies assessing fruit productivity of plants in the boreal forest focus on interannual variability across a forested region, rather than on environmental variability within the forest. Frequency and severity of wildfires in the boreal forest affect soil moisture, canopy, and community structure at the landscape level, all of which may influence overall fruit production at a site directly or indirectly. We evaluated how fruit production in two boreal shrubs,Vaccinium uliginosum(blueberry) andV.vitis-idaea(lingonberry), was explained by factors associated with resource availability (such as canopy cover and soil conditions) and pollen limitation (such as floral resources for pollinators and pollen deposition) across boreal forest sites of Interior Alaska in 2017. We classified our study sites into upland and lowland sites, which differed in elevation, soil moisture, and active layer. We found that resource and pollen limitation differed between the two species and between uplands and lowlands. Lingonberry was more pollen limited than blueberry, and plants in lowland sites were more pollen limited relative to other sites while plants in upland sites were relatively more resource limited. Additionally, canopy cover had a significant negative effect in upland sites on a ramet's investment in reproductive tissues and leaves versus structural growth, but little effect in lowland sites. These results point to importance of including pollinator service as well as resource availability in predictions for changes in berry abundance.",,,,,,,,,,,,,,,,,1932-6203,,,,,AUG 19,2020,15,8,,,,,,,e0224056,10.1371/journal.pone.0224056,,,,,,,WOS:000563929200016,32813718,,,,22/09/2020,1,,,,,,,,,,,,,,WOS search
J,"Hallang, H; Hiemstra, JF; Los, SO; Matthews, JA; Froyd, CA",,,,"Hallang, Helen; Hiemstra, John F.; Los, Sietse O.; Matthews, John A.; Froyd, Cynthia A.",,,"Carbon dioxide emissions from periglacial patterned ground under changing permafrost conditions and shrub encroachment in an alpine landscape, Jotunheimen, Norway",PERMAFROST AND PERIGLACIAL PROCESSES,,,,,,,,,,,,"Whether Arctic and alpine ecosystems will act as a future net sink or source of carbon remains uncertain. The present study investigates ways in which ecosystem (soil and vegetation) and geomorphological (cryogenic disturbance) factors may control or affect the future release of carbon in an alpine permafrost landscape. Rates of ecosystem respiration (R-e) were examined using a portable gas analyzer across an altitudinal transect ranging from mid- to high-alpine vegetation zones underlain by discontinuous to continuous permafrost on Galdhopiggen (Norway). Measurements were made of R(e)during the peak growing season on active and relict sorted circles exhibiting varying levels of frost disturbance and shrub encroachment. R(e)was found to be controlled more strongly by soil microclimate and plant growth forms than by geomorphic indicators of cryoturbation in thawing permafrost or by atmospheric conditions. The results indicate that increasing shrub cover leads to elevated R-e, while an increase in surface disturbance has the potential to lower R-e. We conclude that vegetation is likely to colonize frost-disturbed surfaces at progressively higher altitudes as freeze-thaw processes slow down or cease, and this will result in increased R-e.",,,,,,,,,,,,,,,,,1045-6740,1099-1530,,,,,,,,,,,,,,,10.1002/ppp.2078,,AUG 2020,,,,,WOS:000560346700001,,,,,09/09/2020,2,empirical,ecosystem respiration,,"Jotunheimen, NO",,,,,,,,,,WOS search
J,"Plint, T; Longstaffe, FJ; Ballantyne, A; Telka, A; Rybczynski, N",,,,"Plint, Tessa; Longstaffe, Fred J.; Ballantyne, Ashley; Telka, Alice; Rybczynski, Natalia",,,Evolution of woodcutting behaviour in Early Pliocene beaver driven by consumption of woody plants,SCIENTIFIC REPORTS,,,,,,,,,,,,"Modern beavers (Castor) are prolific ecosystem engineers and dramatically alter the landscape through tree harvesting and dam building. Little is known, however, about the evolutionary drivers of their woodcutting behaviour. Here we investigate if early woodcutting behaviour in Castoridae was driven by nutritional needs. We measured stable carbon and nitrogen isotopes (delta C-13 and delta N-15) of coeval subfossil plants and beaver collagen (Dipoides sp.) from the Early Pliocene, High Arctic Beaver Pond fossil locality (Ellesmere Island), in order to reconstruct Dipoides sp. diet. Isotopic evidence indicates a diet of woody plants and freshwater macrophytes, supporting the hypothesis that this extinct semiaquatic beaver engaged in woodcutting behaviour for feeding purposes. In a phylogenetic context, the isotopic evidence implies that woodcutting and consumption of woody plants can be traced back to a small-bodied, semiaquatic Miocene castorid, suggesting that beavers have been consuming woody plants for over 20 million years. We propose that the behavioural complex (swimming, woodcutting, and consuming woody plants) preceded and facilitated the evolution of dam building. Dam building and food caching behaviours appear to be specializations for cold winter survival and may have evolved in response to late Neogene northern cooling.",,,,,,,,,,,,,,,,,2045-2322,,,,,AUG 4,2020,10,1,,,,,,,13111,10.1038/s41598-020-70164-1,,,,,,,WOS:000561101700002,32753594,,,,09/09/2020,3,empirical,isotopic signal in beaver fossils,,"Ellesmere Island, CA",,,,,,,,,,WOS search
J,"Ma, YJ; Shi, FZ; Hu, X; Li, XY",,,,"Ma, Yu-Jun; Shi, Fang-Zhong; Hu, Xia; Li, Xiao-Yan",,,Threshold Vegetation Greenness under Water Balance in Different Desert Areas over the Silk Road Economic Belt,REMOTE SENSING,,,,,,,,,,,,"The sustainability of dryland vegetation growth over the Silk Road Economic Belt is under threat of water shortage, and the determination of water carrying capacity for vegetation is critically essential to balance water supply and water demand for the maintenance of existing ecosystems. To better understand how and why vegetation growth varies in different desert areas, this study first analyzed the spatiotemporal variation of the normalized difference vegetation index (NDVI). Then, we investigated the relationship between NDVI and climatic factors (precipitation, soil water content, air temperature, evapotranspiration), and estimated the threshold NDVI under water balance in different desert areas. Results showed that the higher NDVI was mainly distributed in Kazakhstan, Russia, and Azerbaijan, and it increased in approximately 53% of desert areas from 1982 to 2015 in the whole study region. The mean annual NDVI showed a simultaneous increasing trend in all desert areas from 1982 to 1994, and decreased significantly only in the cold arid desert area (p< 0.01, -0.0067 decade(-1)) or had no significant change in other desert areas after 1994 (p> 0.01). The climate condition generally appeared as a warming and drying trend in the past 34 years, with varied changing rates in different desert areas. NDVI presented a strong positive relationship with both precipitation and evapotranspiration in most desert areas. The threshold values of the mean annual NDVI under water balance between 1982 and 2015 were approximately 0.1041 (hot arid desert), 0.1337 (cold arid desert), 0.1346 (cold arid semi-desert), 0.0951 (hot arid desert semi-desert), 0.0776 (polar desert tundra), 0.1071 (hot arid desert shrub), 0.1377 (cold arid desert steppe), and 0.0701 (polar desert steppe), respectively. The responses of these threshold values to precipitation were all positive in different desert areas. These results provide an enhanced understanding of vegetation dynamics and ecological conservation, which are of great importance to implementing adaptation and mitigation measures for terrestrial ecosystems over the Silk Road Economic Belt.",,,,,,,,,,,,,,,,,,2072-4292,,,,AUG,2020,12,15,,,,,,,2452,10.3390/rs12152452,,,,,,,WOS:000559260200001,,,,,09/09/2020,4,empirical,NDVI,,Central Asia,,,,,,,,,,WOS search
J,"Hicks, LC; Rousk, K; Rinnan, R; Rousk, J",,,,"Hicks, Lettice C.; Rousk, Kathrin; Rinnan, Riikka; Rousk, Johannes",,,Soil Microbial Responses to 28 Years of Nutrient Fertilization in a Subarctic Heath,ECOSYSTEMS,,,,,,,,,,,,"Arctic and subarctic soils are typically characterized by low nitrogen (N) availability, suggesting N-limitation of plants and soil microorganisms. Climate warming will stimulate the decomposition of organic matter, resulting in an increase in soil nutrient availability. However, it remains unclear how soil microorganisms in N-limited soils will respond, as the direct effect of inorganic N addition is often shown to inhibit microbial activity, while elevated N availability may have a positive effect on microorganisms indirectly, due to a stimulation of plant productivity. Here we used soils from a long-term fertilization experiment in the Subarctic (28 years at the time of sampling) to investigate the net effects of chronic N-fertilization (100 kg N ha(-1) y(-1), added together with 26 kg P and 90 kg K ha(-1) y(-1), as expected secondary limiting nutrients for plants) on microbial growth, soil C and N mineralization, microbial biomass, and community structure. Despite high levels of long-term fertilization, which significantly increased primary production, we observed relatively minor effects on soil microbial activity. Bacterial growth exhibited the most pronounced response to long-term fertilization, with higher rates of growth in fertilized soils, whereas fungal growth remained unaffected. Rates of basal soil C and N mineralization were only marginally higher in fertilized soils, whereas fertilization had no significant effect on microbial biomass or microbial community structure. Overall, these findings suggest that microbial responses to long-term fertilization in these subarctic tundra soils were driven by an increased flow of labile plant-derived C due to stimulated plant productivity, rather than by direct fertilization effects on the microbial community or changes in soil physiochemistry.",,,,"Rousk, Kathrin/H-8836-2013","Rousk, Kathrin/0000-0003-3140-9864",,,,,,,,,,,,1432-9840,1435-0629,,,,AUG,2020,23,5,,,,,1107,1119,,10.1007/s10021-019-00458-7,,,,,,,WOS:000556248000010,,,,,09/09/2020,5,empirical,microbial growth; nutrient balance,,"Abisko, SE",,,,,,,,,,WOS search
J,"Verma, M; Buhne, HST; Lopes, M; Ehrich, D; Sokovnina, S; Hofhuis, SP; Pettorelli, N",,,,"Verma, Megha; Buehne, Henrike Schulte To; Lopes, Mailys; Ehrich, Dorothee; Sokovnina, Svetlana; Hofhuis, Stijn P.; Pettorelli, Nathalie",,,Can reindeer husbandry management slow down the shrubification of the Arctic?,JOURNAL OF ENVIRONMENTAL MANAGEMENT,,,,,,,,,,,,"Rapid climate change is threatening the stability and functioning of Arctic ecosystems. As the Arctic warms, shrubs have been widely observed to expand, which has potentially serious consequences for global climate regulation and for the ecological processes characterising these ecosystems. However, it is currently unclear why this shrubification has been spatially uneven across the Arctic, with herbivory being suggested as a key regulating factor. By taking advantage of freely available satellite imagery spanning three decades, we mapped changes in shrub cover in the Yamal Peninsula and related these to changes in summer temperature and reindeer population size. We found no evidence that shrubs had expanded in the study site, despite increasing summer temperatures. At the same time, herbivore pressure increased significantly, with the local reindeer population size growing by about 75%. Altogether, our results thus point towards increases in large herbivore pressure having compensated for the warming of the Peninsula, halting the shrubification of the area. This suggests that strategic semi-domesticated reindeer husbandry, which is a common practice across the Eurasian Arctic, could represent an efficient environmental management strategy for maintaining open tundra landscapes in the face of rapid climate change.",,,,,,,,,,,,,,,,,0301-4797,1095-8630,,,,AUG 1,2020,267,,,,,,,,110636,10.1016/j.jenvman.2020.110636,,,,,,,WOS:000533525100012,32421670,,,,09/09/2020,6,empirical,shrub cover change,cover,"Yamal Peninsula, RU",68.2,69.1,remote sensing,temperature; herbivory,biotic; abiotic,,unknown,community,,WOS search
J,"Hewitt, RE; Chapin, FS; Hollingsworth, TN; Mack, MC; Rocha, AV; Taylor, DL",,,,"Hewitt, Rebecca E.; Chapin, F. Stuart, III; Hollingsworth, Teresa N.; Mack, Michelle C.; Rocha, Adrian V.; Taylor, D. Lee",,,Limited overall impacts of ectomycorrhizal inoculation on recruitment of boreal trees into Arctic tundra following wildfire belie species-specific responses,PLOS ONE,,,,,,,,,,,,"We tested whether post-fire seedling establishment of common boreal tree and expanding shrub species at treeline and in Arctic tundra is facilitated by co-migration of boreal forest mycorrhizal fungi. Wildfires are anticipated to facilitate biome shifts at the forest-tundra ecotone by improving seedbed conditions for recruiting boreal species; at the same time fire alters the composition and availability of mycorrhizal fungi critical to seedling performance. To determine the role of root-associated fungi (RAF) in post-fire seedling recruitment and future biome shifts, we outplanted four dominant boreal tree and shrub species inoculated with one of three treatments at treeline and in tundra: burned boreal forest, unburned boreal forest, or a control treatment of sterilized inoculum. We compared survivorship, growth, and physiological performance of the seedlings in relation to mycorrhizal inoculum treatment and among host species, characterized the RAF communities based on ITS-rDNA sequencing of individual root tips sampled from surviving seedlings, and tested for correlations between RAF composition and the inoculation treatments, host species, and duration of the experiment. We explored correlations between RAF composition and seedling metrics. Both live and sterile autoclaved inoculation treatments had similar effects on seedling survivorship and growth for all species. RAF composition did not vary by treatment, suggesting that most colonization was due to local fungi. However, seedling traits and growth were correlated with RAF species composition, colonization, and the relative abundance of specific RAF taxa.Piceasp. performance in particular showed strong co-variation with RAF metrics. Our results suggest that mycorrhizal co-migration is not a primary limiting factor to boreal seedling recruitment because the experimental provision of inoculum did not affect seedling recruitment; yet, RAF did influence seedling performance, particularly resident RAF at treeline and in tundra, suggesting that mycorrhizal fungi are important to vegetation processes at the treeline-tundra ecotone.",,,,,"Chapin III, F Stuart/0000-0002-2558-9910",,,,,,,,,,,,1932-6203,,,,,JUL 9,2020,15,7,,,,,,,e0235932,10.1371/journal.pone.0235932,,,,,,,WOS:000552602700018,32645087,,,,09/09/2020,7,empirical,shrub and tree recruitment,recruitment and growth,"Northern Alaska, US",66.341225,-150.453978,survival and growth analysis,post-fire succession; mycorrhizal infection,biotic; abiotic,,4,community,,WOS search
J,"Le Moullec, M; Sandal, L; Grotan, V; Buchwal, A; Hansen, BB",,,,"Le Moullec, Mathilde; Sandal, Lisa; Grotan, Vidar; Buchwal, Agata; Hansen, Brage Bremset",,,Climate synchronises shrub growth across a high-arctic archipelago: contrasting implications of summer and winter warming,OIKOS,,,,,,,,,,,,"Climate change is most pronounced at high latitudes, where plant and animal populations are often strongly influenced by environmental fluctuations related to climate and weather. Environmental conditions can co-fluctuate over large distances and thereby synchronise primary production in space. However, large-scale studies of such spatiotemporal patterns remain rare in the Arctic, where short time-series and poor spatial replication have characterised the data available on both biotic and abiotic parameters. Here, we use dendrochronological tools to measure ring growth of a dominant dwarf shrub, the polar willowSalix polaris, previously found to reliably trace community-level vascular plant biomass production. We investigated climate drivers of vegetation growth and their role in the synchronisation of primary production across the rapidly warming archipelago of Svalbard (n = 8 sites, composed of 17 sub-sites, 0.06-293 km apart). We found contrasting effects of summer versus winter weather on ring growth and its spatial synchrony. Although an overall positive effect of summer temperature caused spatially synchronous growth, negative impacts of winter rain-on-snow events occurred only locally, potentially counteracting such synchrony. However, the anticipated increase in both summer temperature and spatial extent of rain-on-snow events, causing basal ice encapsulation of the vegetation, could change the relative importance of seasons for spatiotemporal dynamics of shrub growth. Because these shrub ring growth chronologies reflect annual fluctuations in total vascular plant biomass, fuelling the bottom-up controlled food-web, these results have large implications for our understanding of how climate change shapes tundra ecosystem productivity in time and space.",,,,"Grotan, Vidar/O-9453-2019; Buchwal, Agata/F-5516-2013; Hansen, Brage/B-9942-2008","Grotan, Vidar/0000-0003-1222-0724; Buchwal, Agata/0000-0001-6879-6656; Hansen, Brage/0000-0001-8763-4361",,,,,,,,,,,,0030-1299,1600-0706,,,,JUL,2020,129,7,,,,,1012,1027,,10.1111/oik.07059,,,,,,,WOS:000544487100006,,,,,09/09/2020,8,empirical,shrub growth,growth,"Svalbard, NO",79,10,dendrochronology,temperature; precipitation; spring onset timing,abiotic,,1,species,,WOS search
J,"Limpens, J; Fijen, TPM; Keizer, I; Meijer, J; Olsthoorn, F; Pereira, A; Postma, R; Suyker, M; Vasander, H; Holmgren, M",,,,"Limpens, Juul; Fijen, Thijs P. M.; Keizer, Iris; Meijer, Johan; Olsthoorn, Fanny; Pereira, Ana; Postma, Roel; Suyker, Mariette; Vasander, Harri; Holmgren, Milena",,,Shrubs and Degraded Permafrost Pave the Way for Tree Establishment in Subarctic Peatlands,ECOSYSTEMS,,,,,,,,,,,,"Arctic and subarctic ecosystems are changing rapidly in species composition and functioning as they warm twice as fast as the global average. It has been suggested that tree-less boreal landscapes may shift abruptly to tree-dominated states as climate warms. Yet, we insufficiently understand the conditions and mechanisms underlying tree establishment in the subarctic and arctic regions to anticipate how climate change may further affect ecosystem structure and functioning. We conducted a field experiment to assess the role of permafrost presence, micro-topography and shrub canopy on tree establishment in almost tree-less subarctic peatlands of northern Finland. We introduced seeds and seedlings of four tree-line species and monitored seedling survival and environmental conditions for six growing seasons. Our results show that once seedlings have emerged, the absence of permafrost can enhance early tree seedling survival, but shrub cover is the most important driver of subsequent tree seedling survival in subarctic peatlands. Tree seedling survival was twice as high under an intact shrub canopy than in open conditions after shrub canopy removal. Under unclipped control conditions, seedling survival was positively associated with dense shrub canopies for half of the tree species studied. These strong positive interactions between shrubs and trees may facilitate the transition from today's treeless subarctic landscapes towards tree-dominated states. Our results suggest that climate warming may accelerate this vegetation shift as permafrost is lost, and shrubs further expand across the subarctic.",,,,,,,,,,,,,,,,,1432-9840,1435-0629,,,,,,,,,,,,,,,10.1007/s10021-020-00523-6,,JUN 2020,,,,,WOS:000544550200001,,,,,09/09/2020,9,empirical,tree establishment,,"Lapland, FI",,,,,,,,,,WOS search
J,"Street, LE; Garnett, MH; Subke, JA; Baxter, R; Dean, JF; Wookey, PA",,,,"Street, Lorna E.; Garnett, Mark H.; Subke, Jens-Arne; Baxter, Robert; Dean, Joshua F.; Wookey, Philip A.",,,Plant carbon allocation drives turnover of old soil organic matter in permafrost tundra soils,GLOBAL CHANGE BIOLOGY,,,,,,,,,,,,"Carbon cycle feedbacks from permafrost ecosystems are expected to accelerate global climate change. Shifts in vegetation productivity and composition in permafrost regions could influence soil organic carbon (SOC) turnover rates via rhizosphere (root zone) priming effects (RPEs), but these processes are not currently accounted for in model predictions. We use a radiocarbon (bomb-C-14) approach to test for RPEs in two Arctic tall shrubs, alder (Alnus viridis(Chaix) DC.) and birch (Betula glandulosaMichx.), and in ericaceous heath tundra vegetation. We compare surface CO(2)efflux rates and(14)C content between intact vegetation and plots in which below-ground allocation of recent photosynthate was prevented by trenching and removal of above-ground biomass. We show, for the first time, that recent photosynthate drives mineralization of older (>50 years old) SOC under birch shrubs and ericaceous heath tundra. By contrast, we find no evidence of RPEs in soils under alder. This is the first direct evidence from permafrost systems that vegetation influences SOC turnover through below-ground C allocation. The vulnerability of SOC to decomposition in permafrost systems may therefore be directly linked to vegetation change, such that expansion of birch shrubs across the Arctic could increase decomposition of older SOC. Our results suggest that carbon cycle models that do not include RPEs risk underestimating the carbon cycle feedbacks associated with changing conditions in tundra regions.",,,,"Dean, Joshua/P-9009-2017; Subke, Jens-Arne/M-3049-2013; Garnett, Mark/C-2377-2009; Baxter, Robert/C-7688-2012","Dean, Joshua/0000-0001-9058-7076; Subke, Jens-Arne/0000-0001-9244-639X; Garnett, Mark/0000-0001-6486-2126; Baxter, Robert/0000-0002-7504-6797; Wookey, Philip/0000-0001-5957-6424",,,,,,,,,,,,1354-1013,1365-2486,,,,AUG,2020,26,8,,,,,4559,4571,,10.1111/gcb.15134,,JUN 2020,,,,,WOS:000540595200001,,,,,09/09/2020,10,empirical,carbon mineralization,,"Northwest Territories, CA",,,,,,,,,,WOS search
