"study_id","source","publication_type","authors","publication_year","source_title","article_title","abstract","doi","date_of_export","study_type","response","shrub_response","location","lat","lon","methods","drivers","n_drivers","annual_temp_count","annual_precip_count","summer_temp_count","winter_temp_count","temp_var_count","summer_precip_count","winter_precip_count","radiation_count","soil_moisture_count","topography_count","interactions_count","herbivory_count","nutrients_count","driver_regime","study_species","n_species","study_level","comment"
8,"WOS search","J","Le Moullec, M; Sandal, L; Grotan, V; Buchwal, A; Hansen, BB",2020,"OIKOS","Climate synchronises shrub growth across a high-arctic archipelago: contrasting implications of summer and winter warming","Climate change is most pronounced at high latitudes, where plant and animal populations are often strongly influenced by environmental fluctuations related to climate and weather. Environmental conditions can co-fluctuate over large distances and thereby synchronise primary production in space. However, large-scale studies of such spatiotemporal patterns remain rare in the Arctic, where short time-series and poor spatial replication have characterised the data available on both biotic and abiotic parameters. Here, we use dendrochronological tools to measure ring growth of a dominant dwarf shrub, the polar willowSalix polaris, previously found to reliably trace community-level vascular plant biomass production. We investigated climate drivers of vegetation growth and their role in the synchronisation of primary production across the rapidly warming archipelago of Svalbard (n = 8 sites, composed of 17 sub-sites, 0.06-293 km apart). We found contrasting effects of summer versus winter weather on ring growth and its spatial synchrony. Although an overall positive effect of summer temperature caused spatially synchronous growth, negative impacts of winter rain-on-snow events occurred only locally, potentially counteracting such synchrony. However, the anticipated increase in both summer temperature and spatial extent of rain-on-snow events, causing basal ice encapsulation of the vegetation, could change the relative importance of seasons for spatiotemporal dynamics of shrub growth. Because these shrub ring growth chronologies reflect annual fluctuations in total vascular plant biomass, fuelling the bottom-up controlled food-web, these results have large implications for our understanding of how climate change shapes tundra ecosystem productivity in time and space.","10.1111/oik.07059","09/09/2020","empirical","shrub growth","growth","Svalbard, NO",79,10,"dendrochronology","summer temperature; summer precipitation; winter precipitation; spring onset timing",4,0,0,1,0,0,1,1,0,0,0,0,0,0,"abiotic","","1","species",""
33,"WOS search","J","Watts, DA; Douhovnikoff, V; Post, E",2019,"PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS","Sexual reproduction is more prevalent in continental landscapes in the expanding arctic shrub, Salix glauca","The recent expansion of arctic deciduous shrubs has been well documented across a range of habitats, but the phenomenon is not universal. Their spread is often associated with increases in temperature and other abiotic factors, while variation in habitat moisture and herbivory can mediate the location and rate of this rise in abundance. Much less is known about the mode of increase of arctic shrubs. For one such shrub, Salix glauca, we used microsatellite markers to assess the prevalence of clonal growth (i.e. vegetative spread) and sexual reproduction (i.e. recruitment from seed) at sites with maritime and continental climates and differing in the density of large herbivores. We sampled individuals in plots reflecting the spatial scale of expansion in locations where S. glauca recently increased in abundance. The 400 samples collected across the four sites comprised 310 genotypes. Though evidence of sexual recruitment was common across all sites, coastal sites contained both more and larger clonal genotypes. While we expected soil conditions would be influential, the factors that best predicted the likelihood of clonality, genet size and vascular plant cover, suggest the light environment is of primary importance. Furthermore, in spite of the large distances between sites, there was no suggestion of genetic differentiation into distinct populations. These results indicate that differences in climate and herbivory can influence not only where and how extensively deciduous shrubs spread, but how they are likely to do so. We suggest future research integrating how mode of increase is associated with the rate of spread will advance projections of change in arctic ecosystems.","10.1016/j.ppees.2019.125499","09/09/2020","empirical","shrub reproduction mode","reproduction mode","Sisimiut/Kangerlussuaq, GL",66.98,-53.19,"leaf genetic analysis","continentality; soil moisture; competition",3,0,0,0,0,1,0,0,0,1,0,1,0,0,"abiotic & biotic","Salix glauca","1","species",""
52,"WOS search","J","Prendin, AL; Carrer, M; Karami, M; Hollesen, J; Pedersen, NB; Pividori, M; Treier, UA; Westergaard-Nielsen, A; Elberling, B; Normand, S",2020,"JOURNAL OF BIOGEOGRAPHY","Immediate and carry-over effects of insect outbreaks on vegetation growth in West Greenland assessed from cells to satellite","Aim Tundra ecosystems are highly vulnerable to climate change, and climate-growth responses of Arctic shrubs are variable and altered by microsite environmental conditions and biotic factors. With warming and drought during the growing season, insect-driven defoliation is expected to increase in frequency and severity with potential broad-scale impacts on tundra ecosystem functioning. Here we provide the first broad-scale reconstruction of spatio-temporal dynamics of past insect outbreaks by assessing their effects on shrub growth along a typical Greenlandic fjord climate gradient from the inland ice to the sea. Location Nuuk Fjord (64 degrees 30 ' N/51 degrees 23 ' W) and adjacent areas, West Greenland. Taxa Great brocade (Eurois occulta L.) and grey willow (Salix glauca L.). Methods We combined dendro-anatomical and remote sensing analyses. Time series of ring width (RW) and wood-anatomical traits were obtained from chronologies of >40 years established from 153 individuals of S. glauca collected at nine sites. We detected anomalies in satellite-based Normalized Difference Vegetation Index (NDVI) related to defoliation and reconstructed past changes in photosynthetic activity across the region. Results We identified outbreaks as distinctive years with reduced RW, cell-wall thickness and vessel size, without being directly related to climate but matching with years of parallel reduction in NDVI. The two subsequent years after the defoliation showed a significant increase in RW. The reconstructed spatio-temporal dynamics of these events indicate substantial regional variation in outbreak intensity linked to the climate variability across the fjord system. Main conclusions Our results highlight the ability of S. glauca to cope with severe insect defoliation by changing carbon investment and xylem conductivity leading to high resilience and rapid recovery after the disturbance. Our multiproxy approach allows us to pinpoint biotic drivers of narrow ring formation and to provide new broad-scale insight on the C-budget and vegetation productivity of shrub communities in a widespread arctic ecosystem.","10.1111/jbi.13644","09/09/2020","empirical","shrub growth","growth","Nuuk fjord, GL",64.5,-51.23,"dendrochronology","herbivory",1,0,0,0,0,0,0,0,0,0,0,0,1,0,"biotic","","1","species",""
69,"WOS search","J","Buchwal, A; Weijers, S; Blok, D; Elberling, B",2019,"INTERNATIONAL JOURNAL OF BIOMETEOROLOGY","Temperature sensitivity of willow dwarf shrub growth from two distinct High Arctic sites","The High Arctic region has experienced marked climate fluctuations within the past decades strongly affecting tundra shrub growth. However, the spatial variability in dwarf shrub growth responses in this remote region remains largely unknown. This study characterizes temperature sensitivity of radial growth of two willow dwarf shrub species from two distinct High Arctic sites. The dwarf shrub Salix arctica from Northern Greenland (82 degrees N), which has a dry continental High Arctic climate, is linked with Salix polaris from central Svalbard (78 degrees N), which experiences a more oceanic High Arctic climate with relatively mild winters. We found similar positive and significant relationships between annual growth of both Salix dwarf shrub species and July-August air temperatures (1960-2010), despite different temperature regimes and shrub growth rates at the two sites. Also, Salix dwarf shrub growth was significantly negatively correlated with Arctic and North Atlantic Oscillation (AO/NAO) indices; S. arctica from Northern Greenland was negatively correlated with previous autumn (AO index) and current summer AO and NAO indices, and S. polaris with the summer NAO index. The results highlight the importance of both local and regional climatic drivers for dwarf willow shrub growth in harsh polar desert habitats and are a step in the direction of identifying and scaling changes in plant growth across the High Arctic.","10.1007/s00484-018-1648-6","09/09/2020","empirical","shrub growth","growth","Peary Land Peninsula, GL; Svalbard, NO",82.083,32.533,"dendrochronology","annual temperature",1,1,0,0,0,0,0,0,0,0,0,0,0,0,"abiotic","Salix arctica; Salix polaris","2","species",""
77,"WOS search","J","Le Moullec, M; Buchwal, A; van der Wal, R; Sandal, L; Hansen, BB",2019,"JOURNAL OF ECOLOGY","Annual ring growth of a widespread high arctic shrub reflects past fluctuations in community-level plant biomass","1. Long time series of primary production are rarely available, restricting our mechanistic understanding of vegetation and ecosystem dynamics under climate change. Dendrochronological tools are increasingly used instead, particularly in the Arcticthe world's most rapidly warming biome. Yet, high-latitude plant species are subject to strong energy allocation trade-offs, and whether annual allocations to secondary growth (e.g. tree-rings) actually reflect primary production above-ground remains unknown. Taking advantage of a unique ground-based monitoring time series of annual vascular plant biomass in high Arctic Svalbard (78 degrees N), we evaluated how well retrospective ring growth of the widespread dwarf shrub Salix polaris represents above-ground biomass production of vascular plants. 2. Using a balanced design in permanent plots for plant biomass monitoring, we collected 30 S. polaris shrubs across five sites in each of two habitats. We established annual ring growth time series using linear mixed-effects models and related them to weather records and 13 years of above-ground biomass production in six habitats. 3. Annual ring growth was positively correlated with above-ground biomass production of both S. polaris (r = 0.56) and the vascular plant community as a whole (r = 0.70). As for above-ground biomass, summer temperature was the main driver of ring growth, with this ecological signal becoming particularly clear when accounting for plant, site and habitat heterogeneity. The results suggest that ring growth measurements performed on this abundant shrub can be used to track fluctuations in past vascular plant production of high arctic tundra. 4. Synthesis. Dendrochronological tools are increasingly used on arctic shrubs to enhance our understanding of vegetation dynamics in the world's most rapidly warming biome. Fundamental to such applications is the assumption that annual differences in ring growth reflect between-year variation in above-ground biomass production. We showed that ring growth indeed was a robust proxy for the annual above-ground productivity of both the focal shrub and the vascular plant community as a whole. Despite the challenges of constructing ring growth chronologies from irregularly growing arctic shrubs, our findings confirm that shrub dendrochronology can open new opportunities for community-dynamic studies, including in remote places where annual field sampling is difficult to achieve.","10.1111/1365-2745.13036","09/09/2020","empirical","shrub growth","growth","Svalbard, NO",77.9,15.2,"dendrochronology","summer temperature; microtopography",2,0,0,1,0,0,0,0,0,0,1,0,0,0,"abiotic","Salix polaris","1","species",""
87,"WOS search","J","Angers-Blondin, S; Myers-Smith, IH; Boudreau, S",2018,"POLAR BIOLOGY","Plant-plant interactions could limit recruitment and range expansion of tall shrubs into alpine and Arctic tundra","Species in cold-limited biomes are expected to expand their distribution ranges in response to climate warming. For plants, range shifts can only occur via successful recruitment beyond their current distribution limit. However, many environmental and ecological filters can act upon recruitment and establishment, thereby potentially limiting the expected climate-driven shifts. In this study, we investigate potential mechanical and chemical constraints that vegetation above the tall shrubline in alpine and Arctic tundra could impose upon the successful establishment of willow species in the Canadian Western Arctic. We collected willow seeds from an alpine and an Arctic shrubline and conducted germination trials to test (1) for seedbed preferences among three natural and one experimentally scarified seedbeds, and (2) for vulnerability to allelopathic chemicals produced by ericaceous dwarf shrub species. We found that germination was almost four times higher on manually exposed bare ground than on intact, herbaceous vegetation. Seeds of two willow species, Salix arctica and Salix pulchra, were not affected by leaf extracts from dwarf shrubs, Cassiope tetragona and Vaccinum uliginosum, but the germination of Salix richardsonii was reduced by as much as 24% in the presence of chemicals from C. tetragona. Our results suggest that biotic interactions could limit the predicted expansion of tall shrubs in the tundra by interfering with germination. Seemingly species-specific responses highlight the need for replicated studies across a wider range of species combinations. Potential range shifts may not occur as a uniform translocation of the shrubline, but could change the composition of the plant community by filtering out certain species.","10.1007/s00300-018-2355-9","09/09/2020","empirical","willow germination","seedling germination","Qikiqtaruk, CA",69.568,-138.918,"seedling counts","seedbed type; allelopathic compound",2,0,0,0,0,0,0,0,0,0,0,1,0,0,"biotic","Salix arctica; Salix pulchra","3","species",""
94,"WOS search","J","Milner, JM; Stien, A; van der Wal, R",2018,"JOURNAL OF VEGETATION SCIENCE","Retrospective growth analysis of the dwarf shrub Cassiope tetragona allows local estimation of vascular plant productivity in high arctic Svalbard","Question Vascular plant productivity of arctic tundra has often been viewed as varying little between years and thus being largely insensitive to the high inter-annual variation in summer weather conditions. Yet, remote-sensing data and retrospective growth analyses of the circumpolar dwarf shrub, Cassiope tetragona, commonly show considerable between-year variability in plant growth in response to variation in summer temperature. Given that both Cassiope growth and vascular plant biomass production share a common environmental driver, summer temperature, we would expect positive co-variation between them. Here we investigate whether this is indeed the case and if so over what spatial scale. LocationMethodsNordenskioldland, high arctic Svalbard. We brought dendroecology and plot-based field estimation methodologies together in an empirical study using retrospective analysis of Cassiope growth and annual estimation of above-ground vegetation biomass production to investigate their temporal and spatial co-variation and sensitivity to summer weather conditions. ResultsConclusionsDespite substantial small-scale heterogeneity, we found spatial co-variation in Cassiope growth patterns, which weakened as distance between sampling sites increased from 0 to 25km. Furthermore, we found a strong positive correlation between annual estimates of above-ground live vascular plant biomass and Cassiope shoot growth over a 12-year period at a local scale. The correlation declined with distance, likely due to increasing differences in local weather conditions. We demonstrate that Cassiope growth can be used as a proxy for above-ground tundra vegetation productivity at the local scale. Our findings suggest that Arctic plant productivity is as sensitive to between-year variation in summer temperature as the well-established growth response of Cassiope. This challenges the view that tundra plant productivity varies little between years and provides a mechanistic understanding that helps reconcile field- and satellite-based annual estimation methods.","10.1111/jvs.12679","09/09/2020","empirical","biomass production","biomass","Svalbard, NO",78.333,15,"dendrochronology; biomass harvest","growth",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"biotic","Cassiope tetragona","1","species",""
102,"WOS search","J","Wilmking, M; Buras, A; Lehejcek, J; Lange, J; Shetti, R; van der Maaten, E",2018,"DENDROCHRONOLOGIA","Influence of larval outbreaks on the climate reconstruction potential of an Arctic shrub","Arctic shrubs have a strong potential for climate and environmental reconstructions in the chronically understudied regions of the high northern latitudes. The climate dynamics of these regions are important to understand because of large-scale feedbacks to the global climate system. However, little is known about other factors influencing shrub ring growth, possibly obscuring their climate signal. For example, as of yet we are not able to differentiate between herbivory or climatically induced growth depressions. Here, we use one of the most common Arctic shrubs, Alnus viridis as a test case to address this question. We sampled Alnus in Kobbefjord, Greenland, measured shrub-ring width and cell wall thickness and built site chronologies of each parameter. We analysed climate-growth relationships, tested their stability over time and employed a pointer-year analysis to detect growth depressions. We employed bootstrapped transfer function stability tests (BTFS) to assess the suitability of our shrub chronologies for climate reconstruction. Correlations with climate data showed strong significantly positive and stable correlations between summer temperature and ring-width with the exception of the recent decade. A climate reconstruction model failed stability tests, when the complete period of record was used for calibration and verification. Wood anatomy analysis uncovered the occurrence of unusual cell structure (very thin cell walls) in the exceptionally narrow ring of 2004, a recorded insect outbreak year in other parts of Greenland. When excluding the affected ring and a recovery period, the reconstruction model passed all tests, suggesting that the unusual 2004 ring was not climate driven, but rather the result of an insect attack. When combining anatomical analysis with traditional ring-width measurements, we move a step further in potentially distinguishing small rings caused by insect attacks from small rings formed in climatically challenging years. While this study does not provide unambiguous evidence, it does provide potential useful methodological combinations to enable more robust climate reconstructions in areas where climatic records are extremely sparse.","10.1016/j.dendro.2018.02.010","09/09/2020","empirical","shrub ring width","growth","Kobbefjord, GL",64.137,-51.38,"dendrochronology","herbivory",1,0,0,0,0,0,0,0,0,0,0,0,1,0,"biotic","Alnus glutinosa","1","species",""
105,"WOS search","J","Morrissette-Boileau, C; Boudreau, S; Tremblay, JP; Cote, SD",2018,"JOURNAL OF ECOLOGY","Simulated caribou browsing limits the effect of nutrient addition on the growth of Betula glandulosa, an expanding shrub species in Eastern Canada","Warmer summer temperatures and enhanced soil fertility increase shrub growth in tundra ecosystems, and these factors have likely contributed to shrub expansion at the circumpolar scale over the last decades. Conversely, large herbivores have the potential to counteract the positive impacts of climate change on shrub growth. Indeed, by stripping the leaves, herbivores have the potential to control the growth of shrub species and, consequently, limit their expansion. To disentangle the impacts of climate change and herbivory on Betula glandulosa Michx., we conducted a 5-year factorial experiment near Deception Bay, Nunavik, Canada, in which we simulated warmer temperatures, increased nitrogen availability and three caribou browsing intensities during the growing season. At the end of the experiment, we harvested the above-ground biomass of B. glandulosa and conducted dendrochronological analyses on stems. Fertilised plots under ambient temperature had 34% greater shrub biomass than plots assigned to the combined treatment of nitrogen addition and warmer temperatures. Browsing intensity had no effect on final biomass. Nitrogen addition increased radial growth (18%-33%; 3years out of 5). Overall, browsing had a cumulative negative impact on B. glandulosa radial growth during the 5-year experiment. While browsing had no effect in the first year of the experiment, moderate browsing (leaves stripped on 25% of available shoots) decreased radial growth by 27% at year 2, 32% at year 4 and 27% at year 5. Heavy browsing (leaves stripped on 75% of available shoots annually) decreased radial growth by c. 27% at year 2, 37% at year 3, 50% at year 4 and 48% at year 5. We did not observe significant interactions between browsing, temperature and nitrogen availability.Synthesis. Our results clearly showed that caribou browsing may limit the growth of B. glandulosa, and thus can potentially limit its expansion. Herbivory should thus be considered when predicting tundra vegetation changes in the Arctic, at least in areas with high herbivore densities.","10.1111/1365-2745.12899","09/09/2020","empirical","shrub growth","growth","Nunavik, CA",62.145,-74.698,"dendrochronology","summer temperature; soil nitrogen; herbivory",3,0,0,1,0,0,0,0,0,0,0,0,1,1,"abiotic & biotic","Betula glandulosa","1","species",""
114,"WOS search","J","Opala-Owczarek, M; Piroznikow, E; Owczarek, P; Szymanski, W; Luks, B; Kepski, D; Szymanowski, M; Wojtun, B; Migala, K",2018,"CATENA","The influence of abiotic factors on the growth of two vascular plant species (Saxifraga oppositifolia and Salix polaris) in the High Arctic","The aim of this paper is to comprehensively evaluate the abiotic factors that influence changes in the annual growth rates of selected species of tundra plants (Saxifraga oppositifolia L and Salbc polaris Wahlenb.). The study was conducted in the area of the Fuglebergsletta coastal plain, in the vicinity of the Polish Polar Station (Wedel Jarlsberg Land, SW Spitsbergen). Relationships between the studied phenomenon and basic environmental factors and climate indicators were evaluated. The spatial variation of land surface temperatures (LST) was determined, as were the effects of the physical and chemical properties of soils and the spring melting of snow cover on growth rates. It has been argued that the spatial and seasonal variability of annual growth is determined by the rate at which snow cover disappears and by soil moisture, which determines plants' access to water. Soil moisture depends on soil particle size distribution and weather; it is regulated by the supply of snowmelt water and rainfall as well as by the depth of the top layer of permafrost (thaw depth), which determines the level of groundwater during the growing season. The spatial characteristics of the process of the disappearance of seasonal snow cover are co-determined by the morphology of the substrate and the physical properties of the soil. An important but destructive role is played by thawing episodes, which are increasingly frequent in the winter season, 'rain-on-snow' events, and glaze ice. The values of correlation coefficients indicate a positive role for precipitation and negative influence of temperature. The higher the temperature (along with low precipitation), the lesser the extent of plant growth. The observed trend towards warming in polar areas does not inevitably lead to an increase in biomass production. An increase in temperature during the growing season does not necessarily promote plant growth, but rather indicates drought stress caused by the lowering of groundwater levels related to the increase in thaw depth.","10.1016/j.catena.2017.12.018","09/09/2020","empirical","shrub growth","growth","Svalbard, NO",77.02,15.32,"dendrochronology","summer temperature; summer precipitation; summer radiation; snow meltout date",4,0,0,1,0,0,1,1,1,0,0,0,0,0,"abiotic","Salix polaris; Saxifraga oppositifolia","2","species",""
